orb_label,rr_target,direction,family,n_on_is,n_off_is,expr_on_is,expr_off_is,delta_is,welch_t,welch_p,n_on_oos,n_off_oos,expr_on_oos,expr_off_oos,delta_oos,same_sign_oos,is_solved_lane,bh_p,abs_delta_is
COMEX_SETTLE,1.0,long,PD_CLEAR_LONG,303,484,0.18409636963696366,0.013679958677685958,0.1704164109592777,2.6030578385526,0.009446746092044342,15,19,0.13214000000000004,-0.10147368421052629,0.2336136842105263,True,False,0.02429163280811402,0.1704164109592777
COMEX_SETTLE,1.0,long,PD_GO_LONG,390,397,0.13834435897435896,0.02127959697732998,0.11706476199702898,1.8161308673795873,0.06973163792206481,17,17,0.1110470588235294,-0.1078647058823529,0.2189117647058823,True,False,0.15689618532464583,0.11706476199702898
EUROPE_FLOW,1.0,long,PD_GO_LONG,211,547,0.10517156398104265,0.010405484460694708,0.09476607952034793,1.3271824458109471,0.18523409876442018,10,27,0.50885,0.17895925925925923,0.32989074074074076,True,False,0.3334213777759563,0.09476607952034793
EUROPE_FLOW,1.0,long,PD_DISPLACE_LONG,150,608,0.10141,0.020841282894736843,0.08056871710526316,1.0010700942451556,0.31784868856811044,5,32,0.89534,0.170115625,0.725224375,True,False,0.5201160358387261,0.08056871710526316
NYSE_OPEN,1.5,long,PD_CLEAR_LONG,180,564,0.1700161111111111,0.08227375886524822,0.08774235224586287,0.8466570318816233,0.3978628596757755,7,21,0.7575857142857142,0.05526666666666666,0.7023190476190475,True,False,0.5967942895136633,0.08774235224586287
CME_PRECLOSE,1.0,long,PD_GO_LONG,370,298,0.15244594594594596,0.19146979865771813,-0.03902385271177217,-0.5624889624946325,0.5739793911650556,13,18,-0.1288153846153846,0.15164444444444442,-0.280459829059829,True,False,0.7379735029265,0.03902385271177217
NYSE_OPEN,1.5,long,PD_GO_LONG,284,460,0.12544014084507044,0.08995717391304349,0.035482966932026946,0.3895722153617325,0.6969920137575323,10,18,0.72498,-0.04367222222222225,0.7686522222222222,True,False,0.7841160154772239,0.035482966932026946
CME_PRECLOSE,1.0,long,PD_DISPLACE_LONG,205,463,0.09384926829268293,0.20350734341252696,-0.10965807511984403,-1.4361899170923431,0.1517858542913783,6,25,0.26071666666666665,-0.020372000000000005,0.28108866666666665,False,False,0.3035717085827566,0.10965807511984403
EUROPE_FLOW,1.0,long,PD_CLEAR_LONG,99,659,0.09587575757575759,0.027907890743550837,0.06796786683220675,0.7085008846274308,0.4799140562576898,6,31,0.2549166666666667,0.2706741935483871,-0.01575752688172044,False,False,0.6644963855875705,0.06796786683220675
NYSE_OPEN,1.5,long,PD_DISPLACE_LONG,178,566,0.06537528089887638,0.11549204946996466,-0.05011676857108828,-0.4826477182642622,0.6297034954231004,5,23,0.48213999999999996,0.17621739130434783,0.30592260869565213,False,False,0.7556441945077205,0.05011676857108828
CME_PRECLOSE,1.0,long,PD_CLEAR_LONG,288,380,0.18017986111111112,0.16202947368421053,0.018150387426900588,0.259700517266027,0.7951816156932033,10,21,-0.059920000000000015,0.07877142857142859,-0.1386914285714286,False,False,0.841957004851627,0.018150387426900588
COMEX_SETTLE,1.0,long,PD_DISPLACE_LONG,208,579,0.08725048076923077,0.07643212435233163,0.010818356416899141,0.14571649273041218,0.8842275230389021,8,26,-0.039650000000000005,0.014280769230769238,-0.05393076923076924,False,False,0.8842275230389021,0.010818356416899141
US_DATA_1000,1.0,long,PD_GO_LONG,324,480,0.19340493827160493,-0.07112791666666667,0.2645328549382716,3.9152521895356753,9.907514184144038e-05,15,20,0.29932000000000003,-0.31755,0.61687,True,True,0.0017833525531459268,0.2645328549382716
US_DATA_1000,1.0,long,PD_DISPLACE_LONG,192,612,0.2396125,-0.028568300653594763,0.2681808006535948,3.4886532734285387,0.0005514148935650503,10,25,0.17453,-0.14425999999999997,0.31878999999999996,True,True,0.003396379761449276,0.2681808006535948
US_DATA_1000,1.0,long,PD_CLEAR_LONG,211,593,0.22697345971563979,-0.032663743676222594,0.25963720339186236,3.476776145265614,0.0005660632935748794,13,22,0.19618461538461537,-0.20052727272727272,0.39671188811188807,True,True,0.003396379761449276,0.25963720339186236
US_DATA_1000,1.5,long,PD_GO_LONG,321,469,0.222195015576324,-0.06612388059701492,0.28831889617333895,3.359506524374335,0.0008247873537687505,15,20,0.2964466666666668,-0.26988500000000004,0.5663316666666669,True,True,0.0037115430919593775,0.28831889617333895
US_DATA_1000,1.5,long,PD_CLEAR_LONG,209,581,0.2727684210526316,-0.028736833046471615,0.3015052540991032,3.135534195670884,0.001856391087952084,13,22,0.11711538461538468,-0.11243181818181816,0.22954720279720284,True,True,0.006683007916627502,0.3015052540991032
US_DATA_1000,1.5,long,PD_DISPLACE_LONG,190,600,0.24998421052631578,-0.011974166666666676,0.2619583771929825,2.6311011557142345,0.008934240318807532,10,25,0.22218,-0.12691200000000002,0.349092,True,True,0.02429163280811402,0.2619583771929825
